run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,subset_fraction,twirling_enabled,bloch_r_init,bloch_r_final
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999767693888,0.1,2.3230610879387825e-08,0.8199999999999992,0.9999999535387792,2.323061087938781e-07,24,8,3,0.2,True,0.7999999999999996,0.999999953538778
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999992,0.1,3.3306690738754696e-16,0.8199999999999992,0.9999999999999992,3.330669073875467e-15,32,8,4,0.2,True,0.7999999999999996,0.9999999999999992
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,40,8,5,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,48,8,6,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,56,8,7,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,64,8,8,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,72,8,9,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9999999999999998,0.1,1.1102230246251563e-16,0.8199999999999992,1.0,1.1102230246251556e-15,80,8,10,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,256,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.5083980799999989,0.2,0.4916019199999999,0.6799999999999994,0.5001410554953708,2.4580095999999987,0,8,0,0.2,True,0.5999999999999996,0.0167961599999999
M1_N256_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,256,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.8757122524887743,0.2,0.1242877475112254,0.6799999999999994,0.7823193933403771,0.6214387375561271,8,8,1,0.2,True,0.5999999999999996,0.7514245049775489
M1_N256_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,256,dephase_z,iid_p,0.2,0.2,0.7999999999999995,0.995861989966672,0.2,0.0041380100333276,0.6799999999999994,0.991758226187416,0.0206900501666384,16,8,2,0.2,True,0.5999999999999996,0.9917239799333444
