run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,subset_fraction,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,7,128,128,dephase_z,iid_p,0.3,0.3,1.4878156471975355e-20,0,True,0.2,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,8,256,256,dephase_z,iid_p,0.3,0.3,2.21359540004582e-40,0,True,0.2,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,9,512,512,dephase_z,iid_p,0.3,0.3,4.90000459510402e-80,0,True,0.2,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,10,1024,1024,dephase_z,iid_p,0.3,0.3,2.401004503204049e-159,0,True,0.2,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,0,1,1,dephase_z,iid_p,0.4,0.4,1.0,0,True,0.2,0,0.5999999999999998,0.3999999999999999,0.5199999999999998,0.1999999999999999,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,0.5199999999999998,0,True,0.2,1,0.6923076923076922,0.3076923076923076,0.5739644970414202,0.3846153846153846,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,2,4,4,dephase_z,iid_p,0.4,0.4,0.1551999999999999,0,True,0.2,2,0.8350515463917524,0.1649484536082474,0.7245190774790093,0.670103092783505,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,3,8,8,dephase_z,iid_p,0.4,0.4,0.0174515199999999,0,True,0.2,3,0.96244682411618,0.0375531758838197,0.9277141302702824,0.9248936482323602,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,4,16,16,dephase_z,iid_p,0.4,0.4,0.0002825404874751,0,True,0.2,4,0.9984798754562998,0.0015201245436998,0.9969643724698568,0.9969597509126,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,5,32,32,dephase_z,iid_p,0.4,0.4,7.958679556690424e-08,0,True,0.2,5,0.9999976821853496,2.3178146502100816e-06,0.999995364381444,0.9999953643706994,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
M1_N2_dephase_z_iid_p_p0.40000_twirl_sub0.20,1,0,1,6,64,64,dephase_z,iid_p,0.4,0.4,6.334028666331275e-15,0,True,0.2,6,0.9999999999946276,5.372202682707439e-12,0.9999999999892554,0.9999999999892554,0.9999999999999996,0.5999999999999998,0.0,0.3999999999999999,0.9999999999999996,0.5199999999999998
