noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,3,256,0.2,0,1,8,9,8.0,255,0,0.0008171680847712803,0.0008171680847712803,0.0008171680847712803,32.0,[8],True,Depolarizing_d3_delta0.200
depolarizing,3,256,0.3,0,1,8,9,8.0,255,0,0.001615573745112971,0.001615573745112971,0.001615573745112971,32.0,[8],True,Depolarizing_d3_delta0.300
depolarizing,3,256,0.4,0,1,8,9,8.0,255,0,0.002983094725612793,0.002983094725612793,0.002983094725612793,32.0,[8],True,Depolarizing_d3_delta0.400
depolarizing,3,256,0.5,0,1,8,9,8.0,255,0,0.00553177572063257,0.00553177572063257,0.00553177572063257,32.0,[8],True,Depolarizing_d3_delta0.500
depolarizing,3,256,0.7,0,1,8,9,8.0,255,0,0.02427161357801344,0.02427161357801344,0.02427161357801344,32.0,[8],True,Depolarizing_d3_delta0.700
depolarizing,3,256,0.8,0,1,8,9,8.0,255,0,0.06735346407215632,0.06735346407215632,0.06735346407215632,32.0,[8],True,Depolarizing_d3_delta0.800
depolarizing,3,256,0.9,0,1,8,9,8.0,255,0,0.2426251183063913,0.2426251183063913,0.2426251183063913,32.0,[8],True,Depolarizing_d3_delta0.900
depolarizing,3,512,0.01,0,1,9,10,9.0,511,0,1.3284830106652379e-05,1.3284830106652379e-05,1.3284830106652379e-05,56.888888888888886,[9],True,Depolarizing_d3_delta0.010
depolarizing,3,512,0.1,0,1,9,10,9.0,511,0,0.00016089104878314053,0.00016089104878314053,0.00016089104878314053,56.888888888888886,[9],True,Depolarizing_d3_delta0.100
depolarizing,3,512,0.2,0,1,9,10,9.0,511,0,0.0004090850696891006,0.0004090850696891006,0.0004090850696891006,56.888888888888886,[9],True,Depolarizing_d3_delta0.200
depolarizing,3,512,0.3,0,1,9,10,9.0,511,0,0.0008097460114588154,0.0008097460114588154,0.0008097460114588154,56.888888888888886,[9],True,Depolarizing_d3_delta0.300
depolarizing,3,512,0.4,0,1,9,10,9.0,511,0,0.0014982314432506378,0.0014982314432506378,0.0014982314432506378,56.888888888888886,[9],True,Depolarizing_d3_delta0.400
depolarizing,3,512,0.5,0,1,9,10,9.0,511,0,0.0027889015675246487,0.0027889015675246487,0.0027889015675246487,56.888888888888886,[9],True,Depolarizing_d3_delta0.500
depolarizing,3,512,0.7,0,1,9,10,9.0,511,0,0.012582933125561283,0.012582933125561283,0.012582933125561283,56.888888888888886,[9],True,Depolarizing_d3_delta0.700
depolarizing,3,512,0.8,0,1,9,10,9.0,511,0,0.03718914066744161,0.03718914066744161,0.03718914066744161,56.888888888888886,[9],True,Depolarizing_d3_delta0.800
depolarizing,3,512,0.9,0,1,9,10,9.0,511,0,0.1697130849642249,0.1697130849642249,0.1697130849642249,56.888888888888886,[9],True,Depolarizing_d3_delta0.900
depolarizing,3,1024,0.01,0,1,10,11,10.0,1023,0,6.642547419296226e-06,6.642547419296226e-06,6.642547419296226e-06,102.4,[10],True,Depolarizing_d3_delta0.010
depolarizing,3,1024,0.1,0,1,10,11,10.0,1023,0,8.046494040040801e-05,8.046494040040801e-05,8.046494040040801e-05,102.4,[10],True,Depolarizing_d3_delta0.100
depolarizing,3,1024,0.2,0,1,10,11,10.0,1023,0,0.0002046680734576848,0.0002046680734576848,0.0002046680734576848,102.4,[10],True,Depolarizing_d3_delta0.200
depolarizing,3,1024,0.3,0,1,10,11,10.0,1023,0,0.00040536497120384024,0.00040536497120384024,0.00040536497120384024,102.4,[10],True,Depolarizing_d3_delta0.300
depolarizing,3,1024,0.4,0,1,10,11,10.0,1023,0,0.0007508005049238579,0.0007508005049238579,0.0007508005049238579,102.4,[10],True,Depolarizing_d3_delta0.400
depolarizing,3,1024,0.5,0,1,10,11,10.0,1023,0,0.0014002923858043026,0.0014002923858043026,0.0014002923858043026,102.4,[10],True,Depolarizing_d3_delta0.500
