run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M5_N2_depolarizing_iid_p_d0.70000,5,2,depolarizing,iid_p,0.7,0.5249999999999999,0.1160290624999999,0.1103493181818181,0.8839709374999996,0.8900247641458026,1.0068484453379476,1
M5_N2_depolarizing_iid_p_d0.80000,5,2,depolarizing,iid_p,0.8,0.6000000000000001,0.0777599999999998,0.0745199999999998,0.9222399999999996,0.9257475699664603,1.0038033158033275,1
M5_N2_depolarizing_iid_p_d0.90000,5,2,depolarizing,iid_p,0.9,0.675,0.0503284374999999,0.0490001209677418,0.9496715624999992,0.9511774430837712,1.0015856856656924,1
M5_N2_depolarizing_iid_p_d0.95000,5,2,depolarizing,iid_p,0.95,0.7124999999999999,0.039883798828125,0.0392922358478483,0.9601162011718742,0.9608480901635924,1.0007622920963366,1
M5_N2_depolarizing_iid_p_d0.99000,5,2,depolarizing,iid_p,0.99,0.7424999999999999,0.032844064065625,0.0327371082963247,0.9671559359343744,0.9673773239205766,1.0002289061959675,1
M5_N4_depolarizing_iid_p_d0.01000,5,4,depolarizing,iid_p,0.01,0.0075,0.9752487531218748,0.9728183193540552,0.0247512468781243,0.0272718391593426,1.101836981935888,2
M5_N4_depolarizing_iid_p_d0.10000,5,4,depolarizing,iid_p,0.1,0.075,0.7737809374999998,0.7550987869822481,0.2262190624999994,0.2456219986504631,1.085770562109299,2
M5_N4_depolarizing_iid_p_d0.50000,5,4,depolarizing,iid_p,0.5,0.375,0.2373046875,0.2152423469387752,0.7626953124999996,0.7858213762667855,1.0303214971794992,2
M5_N4_depolarizing_iid_p_d0.70000,5,4,depolarizing,iid_p,0.7,0.5249999999999999,0.1160290624999999,0.1049476033057851,0.8839709374999996,0.895732913235723,1.013305839860514,2
M5_N4_depolarizing_iid_p_d0.80000,5,4,depolarizing,iid_p,0.8,0.6000000000000001,0.0777599999999998,0.0714149999999998,0.9222399999999996,0.9290836532836644,1.0074206858124404,2
M5_N4_depolarizing_iid_p_d0.90000,5,4,depolarizing,iid_p,0.9,0.675,0.0503284374999999,0.04770686264308,0.9496715624999992,0.9526389276595888,1.0031246225292647,2
M5_N4_depolarizing_iid_p_d0.95000,5,4,depolarizing,iid_p,0.95,0.7124999999999999,0.039883798828125,0.0387094470257491,0.9601162011718742,0.9615725938123504,1.0015168920581683,2
M5_N4_depolarizing_iid_p_d0.99000,5,4,depolarizing,iid_p,0.99,0.7424999999999999,0.032844064065625,0.0326305008254739,0.9671559359343744,0.9676066909592104,1.0004660624084372,2
M5_N8_depolarizing_iid_p_d0.01000,5,8,depolarizing,iid_p,0.01,0.0075,0.9752487531218748,0.9716053747612154,0.0247512468781243,0.0285246692050605,1.152453827700744,3
